Cristiane Alves Jacobsen,19/09/1981,(51)99284-6634,"Av. Teresópolis - 2310",Teresópolis,Feminino
Rafael Braga Wolff,05/03/1999,(51)98542-3378,"Rua Olavo Barreto Viana - 50",Três Figueiras,Masculino
Natália Cunha Medeiros,14/12/1990,(51)99716-4423,"Av. João Pessoa - 1870",Santana,Feminino
Eduardo Assis Bueno,28/06/1973,(51)98263-7756,"Rua José de Alencar - 480",Menino Deus,Masculino
Sandra Krause Müller,07/02/1987,(51)99431-5589,"Av. Nilo Peçanha - 1120",Boa Vista,Feminino
Jonatan Silveira Kern,23/08/1993,(51)98674-2231,"Rua Garibaldi - 820",Bom Fim,Masculino
Amanda Pfeifer Scherer,11/05/1996,(51)99562-7743,"Av. Ipiranga - 4820",Partenon,Feminino
Regina Brum Gonçalves,03/01/1985,(51)98341-9965,"Rua Ernesto Alves - 910",Floresta,Feminino
Cláudia Saraiva Bastos,18/10/1979,(51)99287-3312,"Av. Cavalhada - 2580",Cavalhada,Feminino
Murilo Figueira Stoll,27/04/1992,(51)98712-5576,"Rua Vasco da Gama - 1230",Passo da Areia,Masculino
Karina Weiss Dorneles,06/09/1988,(51)99843-6687,"Av. Assis Brasil - 3500",Passo da Areia,Feminino
Evandro Bonini Schultz,15/03/1994,(51)98431-2243,"Rua Vieira de Castro - 650",Auxiliadora,Masculino
Lisiane Tonet Araujo,24/07/1982,(51)99178-5534,"Av. Juca Batista - 1040",Hípica,Feminino
Guilherme Saad Leite,12/12/1975,(51)98563-8897,"Rua Cel. Aparício Borges - 2160",Glória,Masculino
Monique Bittencourt Lago,09/06/1997,(51)99432-7721,"Av. Wenceslau Escobar - 3490",Tristeza,Feminino
Alexsandro Rios Pedroso,01/02/1989,(51)98712-3354,"Rua Professora Clotilde Espíndola - 70",Rubem Berta,Masculino
Débora Fantinel Oliveira,20/11/1991,(51)99285-6643,"Av. Protásio Alves - 7040",Petrópolis,Feminino
Cauê Martini Grando,07/08/1995,(51)98634-2287,"Rua Dr. Flores - 490",Centro,Masculino
Adriana Menezes Vidal,26/01/1980,(51)99571-4456,"Av. Érico Veríssimo - 1240",Cristal,Feminino
Mateus Pozza Cardoso,13/09/1986,(51)98243-9921,"Rua Marquês do Pombal - 700",Moinhos de Vento,Masculino
Taiane Rohde Nascimento,04/04/1993,(51)99812-3378,"Av. Oscar Pereira - 3100",Glória,Feminino
Leandro Boff Serrano,22/07/1978,(51)98421-5565,"Rua Demétrio Ribeiro - 180",Centro,Masculino
Aisha Andrade Pereira,10/02/2001,(51)99234-7787,"Av. Sertório - 5660",Sarandi,Feminino
Otávio Prado Lemos,29/10/1984,(51)98653-4412,"Rua Santo Antônio - 380",Cidade Baixa,Masculino
Roberta Cargnin Stein,16/05/1977,(51)99487-6634,"Av. Ipiranga - 6680",Partenon,Feminino
Jonas Hepp Bertoldi,03/12/1990,(51)98312-7743,"Rua Anita Garibaldi - 1770",Petrópolis,Masculino
Brenda Luz Fontes,18/08/1998,(51)99621-3345,"Av. Carlos Gomes - 2340",Três Figueiras,Feminino
Cleiton Braz Ribas,07/03/1982,(51)98741-6621,"Rua Silva Só - 430",Bom Fim,Masculino
Samara Krauss Konrath,24/06/1994,(51)99153-4478,"Av. Nilo Peçanha - 3880",Bela Vista,Feminino
Lúcio Rech Fontoura,12/01/1987,(51)98563-2213,"Rua Jerônimo de Ornelas - 590",Santana,Masculino
Vanessa Troian Tomazetti,05/11/1991,(51)99842-5567,"Av. Nonoai - 920",Nonoai,Feminino
Elias Souza Kraemer,21/04/1976,(51)98432-8834,"Rua Barros Cassal - 230",Bom Fim,Masculino
Jaqueline Neves Reginato,08/09/1983,(51)99316-7721,"Av. Cavalhada - 6270",Cavalhada,Feminino
William Decker Flores,17/02/1996,(51)98721-4445,"Rua Cabral - 1050",Petrópolis,Masculino
Ingrid Piovesan Ramos,06/07/1988,(51)99587-3398,"Av. Assis Brasil - 6100",Sarandi,Feminino
Antônio Camillo Paz,25/12/1981,(51)98641-2276,"Rua da Conceição - 440",Navegantes,Masculino
Alice Henz Bruxel,14/05/1995,(51)99412-5589,"Av. Diário de Notícias - 1860",Cristal,Feminino
César Lain Waltrich,02/10/1979,(51)98253-6634,"Rua Capitão Montanha - 75",Centro,Masculino
Flávia Bianchi Tessaro,20/03/1992,(51)99731-4423,"Av. Teresópolis - 1200",Teresópolis,Feminino
Diogo Specht Lopes,09/08/1985,(51)98542-7787,"Rua Freitas e Castro - 1580",Rio Branco,Masculino
Nathaly Souza Wentz,28/01/2000,(51)99268-3356,"Av. Wenceslau Escobar - 4500",Tristeza,Feminino
Adriana Wink Goulart,15/06/1974,(51)98631-5521,"Rua Guaporé - 880",Passo da Areia,Feminino
Bárbara Galli Tonet,04/11/1986,(51)99843-7712,"Av. Bento Gonçalves - 8320",Agronomia,Feminino
Renan Dallacosta Vaz,23/04/1993,(51)98412-3389,"Rua Fernandes Vieira - 220",Bom Fim,Masculino
Luciana Bock Prates,11/09/1980,(51)99574-6645,"Av. Ipiranga - 7540",Partenon,Feminino
Willian Zardin Melo,07/02/1997,(51)98763-2212,"Rua Dona Laura - 1100",Moinhos de Vento,Masculino
Patrícia Leão Siqueira,18/07/1983,(51)99237-5578,"Av. Carlos Gomes - 3780",Três Figueiras,Feminino
Ivan Roesler Kunrath,26/12/1988,(51)98531-8843,"Rua Mata Bacelar - 190",Bom Jesus,Masculino
Luana Pirola Michelon,05/05/1994,(51)99682-4467,"Av. Oscar Pereira - 4780",Glória,Feminino
Josimar Gandra Bastos,13/10/1971,(51)98342-6631,"Rua Dr. Mário Totta - 390",Tristeza,Masculino
Carolina Hack Lindenau,01/03/1990,(51)99513-7754,"Av. Sertório - 2180",Sarandi,Feminino
Márcio Petry Santos,19/08/1978,(51)98621-4498,"Rua Hilário Ribeiro - 480",Moinhos de Vento,Masculino
Renata Moser Henz,08/06/1995,(51)99274-3312,"Av. Protásio Alves - 9220",Petrópolis,Feminino
Arthur Jacoby Maciel,27/11/1987,(51)98743-5565,"Rua Coronel Genuíno - 890",Centro,Masculino
Daiane Eberle Noll,15/04/1992,(51)99831-6678,"Av. Nonoai - 2480",Nonoai,Feminino
Marcos Boff Steinhaus,02/09/1975,(51)98412-2234,"Rua Felizardo - 660",Jardim Botânico,Masculino
Thainá Braz Veloso,21/01/1998,(51)99567-4423,"Av. Coronel Aparício Borges - 3120",Glória,Feminino
Júlio Fetter Macedo,10/07/1983,(51)98651-7787,"Rua Sarmento Leite - 315",Centro,Masculino
Cibele Wommer Arnt,06/04/1990,(51)99382-5545,"Av. Ipiranga - 3100",Partenon,Feminino
Kelvin Alves Porto,24/10/1996,(51)98234-3367,"Rua Álvares Cabral - 730",Cidade Baixa,Masculino
Joana Fróes Amaral,03/08/1973,(51)99741-6689,"Av. Cavalhada - 810",Cavalhada,Feminino
Manoel Silveira Pinto,12/05/1987,(51)99966-7412,"Av. João Wallig - 687", Passo Da Areia, Masculino
